Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-03 11:00:00,25,0.0,63,2,3
2018-04-03 12:00:00,25,0.0,64,1,2
2018-04-03 13:00:00,25,0.0,62,2,2
2018-04-03 14:00:00,26,0.0,62,2,2
2018-04-03 15:00:00,26,0.0,61,2,2
2018-04-03 16:00:00,25,0.0,60,1,2
2018-04-03 17:00:00,24,0.0,64,2,2
2018-04-03 18:00:00,22,0.0,70,1,2
2018-04-03 19:00:00,21,0.0,73,1,2
2018-04-03 20:00:00,21,0.0,77,1,0
2018-04-03 21:00:00,20,0.0,82,1,2
2018-04-03 22:00:00,20,0.0,85,1,2
2018-04-03 23:00:00,20,0.0,87,2,1
2018-04-04 00:00:00,19,0.0,87,1,1
2018-04-04 01:00:00,19,0.0,90,1,1
2018-04-04 02:00:00,19,0.0,92,1,1
2018-04-04 03:00:00,19,0.0,92,1,1
2018-04-04 04:00:00,19,0.0,89,6,1
2018-04-04 05:00:00,18,0.0,93,6,2
2018-04-04 06:00:00,16,0.0,95,6,2
2018-04-04 07:00:00,15,0.0,95,6,2
2018-04-04 08:00:00,13,0.0,95,6,1
2018-04-04 09:00:00,13,0.0,93,7,3
2018-04-04 10:00:00,12,0.0,92,6,2
2018-04-04 11:00:00,12,0.0,91,5,2
